"id","nombre","año","mes","día","hour","minute","sube","baja","queda","descrp"
"8","diego de almagro","2016","02","08","12","32","","1.0","18.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","08","12","32","","5.0","80.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","08","14","5","","2.0","16.0","Redistribución de Potencia  -20 MW"
"19","luz del norte","2016","02","08","14","5","","7.0","73.0","Redistribución de Potencia  -20 MW"
"8","diego de almagro","2016","02","08","14","26","1.0","","17.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","08","14","26","5.0","","78.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","08","16","4","","","17.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"9","san andres","2016","02","08","16","4","","8.0","28.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","08","16","4","","3.0","75.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
"10","llano de llampos","2016","02","08","17","4","","8.0","77.0","Prorrata por Control TX Líneas 220 kV Los Vilos - Las Palmas"
"8","diego de almagro","2016","02","08","18","14","1.0","no","18.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones, 202 MVA a 28 °C con Sol, flujo N>S. "
"9","san andres","2016","02","08","18","14","2.0","","30.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones, 202 MVA a 28 °C con Sol, flujo N>S. "
"19","luz del norte","2016","02","08","18","14","6.0","","81.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones, 202 MVA a 28 °C con Sol, flujo N>S. "
"9","san andres","2016","02","09","10","32","","10.0","0.0","Salida Intempestiva por Falla IF335/2016"
