"año","mes","día","total_baja","descrp"
2016,2,22,33,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  235 MVA a 23 °C con Sol  flujo N>S. "
2016,2,22,33,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  222 MVA a 25 °C con Sol  flujo N>S. "
2016,2,22,33,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  222 MVA a 25 °C con Sol  flujo N>S. "
2016,2,22,33,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  216 MVA a 26 °C con Sol  flujo N>S. "
2016,2,22,33,"Redistribución de Potencia Menor generación C. PE Taltal 30 MW"
2016,2,22,33,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,22,33,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,22,33,"Redistribución de Potencia Mayor carga eólica en PE Taltal -30 MW"
2016,2,22,33,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,23,33,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  229 MVA a 24 °C con Sol  flujo N>S. "
2016,2,23,33,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  229 MVA a 24 °C con Sol  flujo N>S. "
2016,2,23,33,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  229 MVA a 24 °C con Sol  flujo N>S. "
2016,2,23,33,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
2016,2,23,33,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
2016,2,23,33,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,23,33,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,23,33,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,23,33,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,23,33,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
